                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     13,                 1.8513,                 2.3558,                 1.9373,                0.22649,                    0.5,                 0.1672,                0.04607,                 2.4899,                   3.83,                 2.7275,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.7718,                 2.1966,                 1.8421,                0.12812,                0.36364,                0.10267,                0.03246,                 2.5487,                   3.23,                 2.9505,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.9977,                 2.3552,                 2.0333,                 0.2053,                0.27273,                0.11082,                0.02414,                 3.1009,                 2.8099,                 4.2926,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.9099,                 2.3348,                 1.9508,                0.49005,                0.22727,                0.26686,                0.07071,                 2.6628,                 3.4595,                 3.0938,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.7764,                 2.1463,                 1.8003,                0.27547,                0.40909,                0.25476,                0.06996,                 2.0832,                 3.2105,                  2.408,               0.001703,               0.001703,               0.001703
                     18,                  1.873,                 2.1493,                 1.8449,                0.79906,                0.36171,                0.35443,                0.16659,                 1.9143,                 2.4258,                 2.1317,              0.0016832,              0.0016832,              0.0016832
                     19,                  1.832,                 2.1511,                  1.852,                0.38366,                0.40909,                0.29568,                0.10514,                 2.0075,                 2.4349,                 2.2191,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.7934,                 2.1572,                 1.9031,                0.33773,                0.36364,                0.25818,                0.08588,                 2.2353,                 2.4769,                 2.2699,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.8467,                 2.1288,                 1.8999,                0.23348,                0.36364,                0.18907,                0.06972,                 2.4263,                 2.3927,                 2.4115,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.9897,                 2.1323,                 1.9373,                0.10273,                0.22727,                0.08549,                0.03044,                 2.6955,                 2.4629,                 2.5156,               0.001604,               0.001604,               0.001604
                     23,                 1.8886,                  2.074,                 1.8542,                0.16659,                0.31818,                 0.1455,                0.03991,                 2.3643,                 2.3713,                 2.3058,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.8699,                 2.0094,                 1.8075,                0.24278,                0.54545,                0.26844,                0.08745,                 2.3583,                  2.335,                 2.4288,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.8286,                 2.0257,                 1.8082,                0.24313,                0.32133,                0.25505,                0.09374,                 2.3043,                 2.6455,                 2.5045,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.8429,                 2.1029,                 1.8159,                0.17011,                0.36364,                0.19132,                0.07701,                 2.2383,                 2.7229,                 2.5579,              0.0015248,              0.0015248,              0.0015248
