                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                 1.0595,                 1.3696,                0.92178,                0.00646,                    0.5,                0.40841,                0.29384,                0.84149,                 3.0494,                0.92902,             0.00041763,             0.00041763,             0.00041763
                     57,                0.90675,                 1.4385,                0.93358,                0.00646,                    0.5,                0.40841,                0.29384,                0.84149,                 3.0494,                0.92902,             0.00041598,             0.00041598,             0.00041598
                     58,                0.82286,                 1.2992,                0.85116,                0.00602,                    0.5,                 0.4535,                0.31639,                0.87759,                 3.0229,                 0.9367,               0.000414,               0.000414,               0.000414
                     59,                0.87035,                 1.1916,                0.88814,                0.00602,                    0.5,                 0.4535,                0.31639,                0.87759,                 3.0229,                 0.9367,             0.00041169,             0.00041169,             0.00041169
                     60,                0.78478,                 1.1865,                0.86831,                0.00602,                    0.5,                 0.4535,                0.31639,                0.87759,                 3.0229,                 0.9367,             0.00040905,             0.00040905,             0.00040905
                     61,                0.95861,                 1.3002,                0.88948,                0.00576,                    0.5,                 0.4535,                0.31506,                0.89239,                 3.0763,                0.92864,             0.00040608,             0.00040608,             0.00040608
                     62,                0.96262,                 1.2002,                 0.8949,                0.00576,                    0.5,                 0.4535,                0.31506,                0.89239,                 3.0763,                0.92864,             0.00040278,             0.00040278,             0.00040278
                     63,                 1.0775,                 1.3815,                0.90718,                0.00576,                    0.5,                 0.4535,                0.31506,                0.89239,                 3.0763,                0.92864,             0.00039915,             0.00039915,             0.00039915
                     64,                0.91005,                 1.1207,                0.92978,                0.00559,                    0.5,                0.41958,                0.31813,                0.88761,                 3.1109,                0.91989,             0.00039519,             0.00039519,             0.00039519
                     65,                0.95377,                 1.4189,                0.86528,                0.00559,                    0.5,                0.41958,                0.31813,                0.88761,                 3.1109,                0.91989,              0.0003909,              0.0003909,              0.0003909
                     66,                0.91679,                  1.296,                0.87886,                0.00559,                    0.5,                0.41958,                0.31813,                0.88761,                 3.1109,                0.91989,             0.00038629,             0.00038629,             0.00038629
                     67,                 1.0561,                 1.4039,                0.86816,                0.00564,                    0.5,                0.41958,                0.32681,                0.86356,                 3.0909,                0.90923,             0.00038134,             0.00038134,             0.00038134
                     68,                0.91102,                 1.4377,                0.93219,                0.00564,                    0.5,                0.41958,                0.32681,                0.86356,                 3.0909,                0.90923,             0.00037606,             0.00037606,             0.00037606
                     69,                0.94965,                 1.3844,                0.95448,                0.00564,                    0.5,                0.41958,                0.32681,                0.86356,                 3.0909,                0.90923,             0.00037045,             0.00037045,             0.00037045
                     70,                0.81613,                 1.1115,                 0.8751,                0.00565,                    0.5,                  0.459,                0.36408,                 0.8492,                 3.0305,                0.91564,             0.00036451,             0.00036451,             0.00036451
                     71,                 0.9282,                 1.3893,                0.86846,                0.00565,                    0.5,                  0.459,                0.36408,                 0.8492,                 3.0305,                0.91564,             0.00035824,             0.00035824,             0.00035824
                     72,                0.97333,                 1.2716,                0.92283,                0.00565,                    0.5,                  0.459,                0.36408,                 0.8492,                 3.0305,                0.91564,             0.00035164,             0.00035164,             0.00035164
                     73,                0.93994,                 1.4717,                0.90685,                0.89953,                0.22117,                0.42802,                0.34242,                0.86679,                 2.9566,                0.91023,             0.00034471,             0.00034471,             0.00034471
                     74,                  1.116,                 1.4497,                 0.8697,                0.89953,                0.22117,                0.42802,                0.34242,                0.86679,                 2.9566,                0.91023,             0.00033745,             0.00033745,             0.00033745
                     75,                0.84637,                 1.1614,                0.89626,                0.89953,                0.22117,                0.42802,                0.34242,                0.86679,                 2.9566,                0.91023,             0.00032986,             0.00032986,             0.00032986
                     76,                0.86554,                 1.2068,                0.90449,                0.88888,                0.19752,                0.43059,                0.33868,                0.87645,                 2.7994,                0.90224,             0.00032194,             0.00032194,             0.00032194
                     77,                0.83048,                 1.1376,                0.90092,                0.88888,                0.19752,                0.43059,                0.33868,                0.87645,                 2.7994,                0.90224,             0.00031369,             0.00031369,             0.00031369
                     78,                 1.0024,                 1.6699,                0.92206,                0.88888,                0.19752,                0.43059,                0.33868,                0.87645,                 2.7994,                0.90224,             0.00030511,             0.00030511,             0.00030511
                     79,                0.97446,                 1.5863,                0.92184,                0.90392,                0.23529,                0.47067,                0.37102,                0.84822,                 2.6568,                0.88992,              0.0002962,              0.0002962,              0.0002962
                     80,                 1.1783,                 1.3365,                0.91866,                0.90392,                0.23529,                0.47067,                0.37102,                0.84822,                 2.6568,                0.88992,             0.00028696,             0.00028696,             0.00028696
                     81,                 1.0543,                 1.1313,                0.93805,                0.90392,                0.23529,                0.47067,                0.37102,                0.84822,                 2.6568,                0.88992,             0.00027739,             0.00027739,             0.00027739
                     82,                0.99332,                 1.3345,                 0.8933,                0.90895,                0.25206,                0.47077,                0.37844,                 0.8202,                 2.5723,                0.88266,             0.00026749,             0.00026749,             0.00026749
                     83,                0.97764,                 1.3339,                0.95803,                0.90895,                0.25206,                0.47077,                0.37844,                 0.8202,                 2.5723,                0.88266,             0.00025726,             0.00025726,             0.00025726
                     84,                0.74225,                 1.5453,                0.84532,                0.90895,                0.25206,                0.47077,                0.37844,                 0.8202,                 2.5723,                0.88266,              0.0002467,              0.0002467,              0.0002467
                     85,                0.78568,                 1.1541,                0.75875,                0.92371,                0.31063,                0.47087,                0.38625,                0.77396,                 2.5158,                0.87158,             0.00023581,             0.00023581,             0.00023581
                     86,                0.79209,                 1.0196,                0.82712,                0.92371,                0.31063,                0.47087,                0.38625,                0.77396,                 2.5158,                0.87158,             0.00022459,             0.00022459,             0.00022459
